ticket_id,agent_id,date,channel,agent_notes,conversation_snippet,resolution_status
TKT-001,AGT-042,2024-03-15,phone,"Customer called to inquire about account balance and upcoming payment. Identity verified via security questions. Current balance $1240.00. Next payment of $85 due March 20 2024. Customer satisfied.","Hello I need to check my balance please. Of course can I get your account number? It ends in 4821. Your current balance is $1240 and your payment of $85 is due March 20th. Is there anything else I can help you with today?",resolved
TKT-002,AGT-017,2024-03-15,chat,"cust acct bal neg $42.00 pymnt fail NSF chrg $35 appld, auth decl 2x today, mgr aprvl req 4 waiv OD fee 1x cstsy, escl L2 per SOP-FIN-002","Ive been trying to make a payment but it keeps getting declined and Im getting charged fees. I can see the payment failed due to insufficient funds. I will need manager approval to waive the overdraft fee as a one-time courtesy.",escalated
TKT-003,AGT-031,2024-03-16,phone,"chrgbck init x2 unauth txns: $89.99 AMZN 3/14 + $124.50 AMZN 3/14 tot $214.49, cust verf ID+CVV OK, disp opnd ref# DISP-2024-03, ETA 3-5 bd","I didnÃ¢â‚¬â„¢t authorize these chargesâ€¦ I can see two Amazon charges totaling $214.49. Let me pull up your accountâ€¦ Iâ€™ll need to verify your identity firstÃ¯Â¿Â½ï¿½ï¿½ The dispute reference number is DISP-2024-03.",pending
TKT-004,AGT-055,2024-03-16,email,"cust req stmnt reprnt last 3 mo for mrtg appl, addr updt req frm 123 Oak St to 456 Pine Ave Apt 2B, ID verf compl, chg conf via em","I need copies of my last three statements for a mortgage application. How far back do you need them. The last three months please. I also need to update my mailing address to 456 Pine Avenue.",resolved
TKT-005,AGT-009,2024-03-17,phone,"acct frz per SCU alrt — unauth acc dtctd frm unkn IP 3x in 2h, cust ntfd em+sms, tmp creds iss, 2FA enbl force, full acct rst ETA 24-48h, ref# SEC-2024-0892","My account has been locked and I cannot log in at all. Yes we detected suspicious login attempts from an unrecognized device. We have already sent you a text message with a verification code. Your account will be fully restored within 24 to 48 hours.",escalated
TKT-006,AGT-028,2024-03-17,chat,"cust lmt incr req $5k to $8k, cr scr 720 verf ext bureau, auto aprvl algrtm pass, eff imm post-cycl, ntf via em+app","Can I get a credit limit increaseï¿½ï¿½ï¿½ Youâ€™re currently at a $5000 limitâ€¦â€¦ I can see youÃ¢â‚¬â„¢ve been a valued customer for 3 years with consistent on-time payments Ã¢â‚¬â€œ your increase to $8000 has been approvedÃ¯Â¿Â½",resolved
TKT-007,AGT-042,2024-03-18,phone,"pymnt rtrnd NSF x2 this billing cycl, acct flagd risk-cls per RISK-PLY-007, cust offrd hrdhsp pymnt plan 3x $200 ea, PTP dtd 3/20+4/20+5/20, sup aprvl conf, ref# RISK-2024-0234","My payment was returned again and I am really frustrated hereÃ¯Â¿Â½Ã¯Â¿Â½ I completely understand your frustration and I sincerely apologizeâ€¦â€¦ We are going to set up a hardship payment planÃ¢â‚¬Â¦Ã¯Â¿Â½ï¿½ï¿½ï¿½ Three installments of two hundred dollars each.",escalated
TKT-008,AGT-063,2024-03-18,chat,"acct verf OK no outstndg disp, avail cred $3200 of $5k lmt, min pymnt $45 due 3/25, autopymnt enrl conf rcv dt 3/10, stmnt dlvry em ok, all sys grn","I want to make sure my autopay enrollment went through properly. Yes your autopay is confirmed as of March 10th. Your minimum payment of $45 is due on March 25th and your available credit is $3200. Everything looks good on the account.",resolved
TKT-009,AGT-017,2024-03-19,phone,"cust pd in full on prim acct lst stmt cycl $2840, req pd cnfrm ltr for mrtg undwrtr, also has outstndg pd stat on sec auto ln acct — conf pymnt rcvd both, auth iss from prev TKT-002 resolvd","Has my payment cleared on both of my accounts. Yes your payments have been processed and both accounts show a paid status. I need an official letter confirming that for my mortgage underwriter. I will generate that confirmation letter for you now.",resolved
TKT-010,AGT-031,2024-03-19,email,"cust rcvd final coll ntc in err — acct pd in full bal $0.00 sys-verf, escl to supv imm, adj cred $892.00 appld corr sys err, acct sts forcibly updt curr, fmt apol ltr drftd+mailed, int audit tkt filed, ref# ADJ-2024-1122","I received a final collection notice but I paid off this account months ago. I am so deeply sorry about this error on our part. I can confirm your balance is zero and this notice was sent incorrectly. I am escalating this immediately and an apology letter will be mailed to you today.",resolved
